company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code,id
/company/waywire,#waywire,news,USA,NY,New York,New York,/company/magnify,Magnify,games_video,USA,NY,New York,New York,10/17/13,2013-10,2013-Q4,2013.0,,USD,1
/company/1-nation-technology,1 Nation Technology,,,,unknown,,/company/vology,Vology,other,,,unknown,,1/1/06,2006-01,2006-Q1,2006.0,,USD,2
/company/1-stop-financial-service-centers-of-america,1 Stop Financial Service Centers of America,,USA,TX,Austin,Round Rock,/company/confie-seguros,Confie Seguros,enterprise,USA,CA,Los Angeles,Buena Park,2/3/14,2014-02,2014-Q1,2014.0,,USD,3
/company/1-800-contacts-2,1-800 Contacts,,,,unknown,,/company/thomas-h-lee-partners,Thomas H. Lee Partners,,USA,MA,Boston,Boston,1/7/14,2014-01,2014-Q1,2014.0,,USD,4
/company/1000memories,1000memories,web,USA,CA,SF Bay,San Francisco,/company/ancestry-com,Ancestry,ecommerce,USA,UT,Salt Lake City,Provo,10/3/12,2012-10,2012-Q4,2012.0,,USD,5
/company/10best,10best,web,USA,SC,Greenville,Greenville,/company/nile-guide,NileGuide,social,USA,CA,SF Bay,San Francisco,1/25/11,2011-01,2011-Q1,2011.0,,USD,6
/company/10east,10East,network_hosting,USA,FL,Jacksonville,Jacksonville,/company/railcar-management,Railcar Management,enterprise,,,unknown,,4/14/09,2009-04,2009-Q2,2009.0,,USD,7
/company/10k-wizard,10K Wizard,,,,unknown,,/company/morningstar,Morningstar,software,USA,IL,Chicago,Chicago,12/4/08,2008-12,2008-Q4,2008.0,,USD,8
/company/123linkit-com,123LinkIt.com,,,,unknown,,/company/netline,NetLine,advertising,USA,CA,SF Bay,Los Gatos,12/6/11,2011-12,2011-Q4,2011.0,,USD,9
/company/123people,123people,search,AUT,,Vienna,Vienna,/company/pagesjaunes,PagesJaunes,advertising,FRA,,Paris,Sevres,3/19/10,2010-03,2010-Q1,2010.0,,USD,10
/company/12designer,12designer,public_relations,DEU,,Berlin,Berlin,/company/99designs,99designs,design,USA,CA,SF Bay,San Francisco,8/6/12,2012-08,2012-Q3,2012.0,,USD,11
/company/12society,12Society,ecommerce,USA,CA,Los Angeles,West Hollywood,/company/quarterly,Quarterly,web,USA,CA,Los Angeles,West Hollywood,7/3/13,2013-07,2013-Q3,2013.0,,USD,12
/company/1form-com,1Form.com,other,AUS,,Australia - Other,,/company/rea-group,REA Group,news,AUS,,Victoria,Victoria,1/14/14,2014-01,2014-Q1,2014.0,15000000.0,USD,13
/company/1st-choice-security-solutions,1st Choice Security Solutions,security,USA,GA,Atlanta,Atlanta,/company/comcam,ComCam,,USA,PA,Philadelphia,West Chester,4/13/11,2011-04,2011-Q2,2011.0,,USD,14
/company/1vault-networks,1Vault Networks,software,,,unknown,,/company/peak-10,Peak 10,network_hosting,USA,NC,Charlotte,Charlotte,12/22/09,2009-12,2009-Q4,2009.0,,USD,15
/company/2020-social,2020 Social,consulting,IND,,New Delhi,New Delhi,/company/publicis-groupe,Publicis Groupe,public_relations,FRA,,Paris,Paris,10/1/10,2010-10,2010-Q4,2010.0,,USD,16
/company/20-20-media,20:20 Media,,IND,,Noida,Noida,/company/publicis-groupe,Publicis Groupe,public_relations,FRA,,Paris,Paris,10/1/10,2010-10,2010-Q4,2010.0,,USD,17
/company/21st-century-infra-tele,21st Century Infra Tele,public_relations,IND,,India - Other,,/company/wireless-tt-info-services,Wireless TT Info Services,public_relations,IND,,Hyderabad,Hyderabad,4/6/10,2010-04,2010-Q2,2010.0,,USD,18
/company/236-com,236.com,web,,,unknown,,/company/huffingtonpost,The Huffington Post,news,USA,NY,New York,New York,1/14/09,2009-01,2009-Q1,2009.0,,USD,19
/company/24-solutions-ab,24 Solutions AB,,,,unknown,,/company/24mas,24MAS,,SWE,,Nacka,Nacka,12/23/09,2009-12,2009-Q4,2009.0,,USD,20
/company/24-7-real-media,24/7 Real Media,advertising,USA,NY,New York,New York,/company/wpp,WPP,public_relations,USA,NY,New York,New York,5/17/08,2008-05,2008-Q2,2008.0,649000000.0,USD,21
/company/24-7-solutions,24/7 Solutions,software,,,unknown,,/company/sentel,Sentel,other,,,unknown,,4/16/09,2009-04,2009-Q2,2009.0,,USD,22
/company/280-north,280 North,software,,,unknown,,/company/motorola-mobility,Motorola Mobility,mobile,USA,,United States - Other,,7/1/10,2010-07,2010-Q3,2010.0,20000000.0,USD,23
/company/280-north,280 North,software,,,unknown,,/company/motorola-solutions,Motorola Solutions,enterprise,USA,IL,Chicago,Schaumburg,7/1/10,2010-07,2010-Q3,2010.0,20000000.0,USD,24
/company/2ergo,2ergo,mobile,USA,VA,Washington DC,Arlington,/company/soundbite-communication,SoundBite Communications,public_relations,USA,VA,Bedford,Bedford,2/1/12,2012-02,2012-Q1,2012.0,,USD,25
/company/2nd-story-software-inc,"2nd Story Software, Inc.",software,USA,IA,Cedar Rapids,Cedar Rapids,/company/blucora,Blucora,web,USA,WA,Seattle,Bellevue,1/9/12,2012-01,2012-Q1,2012.0,287500000.0,USD,26
/company/2web-technologies,2Web Technologies,software,,,unknown,,/company/google,Google,search,USA,CA,SF Bay,Mountain View,6/1/06,2006-06,2006-Q2,2006.0,,USD,27
/company/2wire,2Wire,web,USA,CA,SF Bay,San Jose,/company/pace,Pace,hardware,GBR,,England,England,7/26/10,2010-07,2010-Q3,2010.0,475000000.0,USD,28
